업소일련번호,업소명,동명,주소,면적(㎡),전화번호,업종,품목코드,품목,가격(원),점검일자,구명
1.43511E+12,네네치킨,신월동,서울특별시 양천구 지양로 25 (신월동 용민아파트),,2690-1008,기타음식업,1.41862E+12,치킨,15000,00:00.0,양천구
1.41889E+12,대원세탁,화곡동,서울특별시 강서구 화곡로21길 53 (화곡동),,02-2605-0306,기타서비스,1.41862E+12,의복수선료,3000,00:00.0,강서구
1.41889E+12,백설사세탁소,화곡동,서울특별시 강서구 강서로5나길 126 (화곡동),,02-2693-6888,세탁업,1.41862E+12,양복 세탁료,8000,00:00.0,강서구
1.41889E+12,초코렛,화곡동,서울특별시 강서구 강서로5가길 24 (화곡동),,02-2604-6222,숙박업,1.41862E+12,숙박료 (호텔),60000,00:00.0,강서구
1.41889E+12,챌로모텔,화곡동,서울특별시 강서구 월정로20길 14 (화곡동),,02-2693-4732,숙박업,1.41862E+12,숙박료 (여관),35000,00:00.0,강서구
1.41889E+12,포토하우스,화곡동,서울특별시 강서구 월정로 124 (화곡동),,02-2602-4747,기타서비스,1.41862E+12,사진 인화료,300,00:00.0,강서구
1.41889E+12,포토하우스,화곡동,서울특별시 강서구 월정로 124 (화곡동),,02-2602-4747,기타서비스,1.41862E+12,사진 촬영료,13000,00:00.0,강서구
1.41889E+12,제일식당,가양동,서울특별시 강서구 양천로 443-36 (가양동),,02-3661-3616,한식,1.41862E+12,김치찌개 백반,5000,00:00.0,강서구
1.41889E+12,제일식당,가양동,서울특별시 강서구 양천로 443-36 (가양동),,02-3661-3616,한식,1.41862E+12,삼겹살,7000,00:00.0,강서구
1.41889E+12,제일식당,가양동,서울특별시 강서구 양천로 443-36 (가양동),,02-3661-3616,한식,1.41862E+12,된장찌개 백반,5000,00:00.0,강서구
1.49343E+12,중화요리쓰부,화곡동,서울특별시 강서구 까치산로 75 (화곡동 신화빌딩),,02-2690-1110,중식,1.41862E+12,짬뽕,7000,00:00.0,강서구
1.49343E+12,중화요리쓰부,화곡동,서울특별시 강서구 까치산로 75 (화곡동 신화빌딩),,02-2690-1110,중식,1.41862E+12,자장면,5000,00:00.0,강서구
1.62028E+12,미스터빠삭,등촌동,서울특별시 강서구 등촌로 65 (등촌동 동양하우징),,2645-7409,경양식,1.41862E+12,돈가스,8000,00:00.0,강서구
1.55176E+12,스시앤,화곡동,서울특별시 강서구 화곡로21길 56 (화곡동),,2696-5558,일식,1.41862E+12,생선초밥,14000,00:00.0,강서구
1.41889E+12,네네치킨,방화동,서울특별시 강서구 금낭화로 26 (방화동),,02-2662-9229,기타음식업,1.41862E+12,치킨,15000,00:00.0,강서구
1.41889E+12,브릿즈커피,화곡동,서울특별시 강서구 공항대로46길 66 (화곡동),,02-2602-7487,다방업,1.41862E+12,커피(외식),2500,00:00.0,강서구
1.41889E+12,브릿즈커피,화곡동,서울특별시 강서구 공항대로46길 66 (화곡동),,02-2602-7487,다방업,1.41862E+12,다방 국산차(녹차),3600,00:00.0,강서구
1.48335E+12,분이네식당,방화동,서울특별시 강서구 방화동로3길 6 (방화동),,02-2661-8821,한식,1.41862E+12,김치찌개 백반,5000,00:00.0,강서구
1.48335E+12,분이네식당,방화동,서울특별시 강서구 방화동로3길 6 (방화동),,02-2661-8821,한식,1.41862E+12,삼겹살,14000,00:00.0,강서구
1.48335E+12,분이네식당,방화동,서울특별시 강서구 방화동로3길 6 (방화동),,02-2661-8821,한식,1.41862E+12,된장찌개 백반,5000,00:00.0,강서구
1.48696E+12,설국,내발산동,서울특별시 강서구 강서로47길 45 (내발산동),,02-2665-5650,한식,1.41862E+12,칼국수,7000,00:00.0,강서구
1.60041E+12,돈번,화곡동,서울특별시 강서구 강서로41길 28 (화곡동),,2697-0808,한식,1.41862E+12,김치찌개 백반,7000,00:00.0,강서구
1.60041E+12,돈번,화곡동,서울특별시 강서구 강서로41길 28 (화곡동),,2697-0808,한식,1.41862E+12,삼겹살,13000,00:00.0,강서구
1.41889E+12,취차이,방화동,서울특별시 강서구 방화동로1길 5 (방화동),,02-363-6271,중식,1.41862E+12,짬뽕,8000,00:00.0,강서구
1.41889E+12,취차이,방화동,서울특별시 강서구 방화동로1길 5 (방화동),,02-363-6271,중식,1.41862E+12,탕수육,20000,00:00.0,강서구
1.41889E+12,취차이,방화동,서울특별시 강서구 방화동로1길 5 (방화동),,02-363-6271,중식,1.41862E+12,자장면,60008000,00:00.0,강서구
1.41889E+12,청산프라자,공항동,서울특별시 강서구 공항대로2길 4 (공항동),,02-2666-9825,중식,1.41862E+12,짬뽕,6000,00:00.0,강서구
1.41889E+12,청산프라자,공항동,서울특별시 강서구 공항대로2길 4 (공항동),,02-2666-9825,중식,1.41862E+12,탕수육,20000,00:00.0,강서구
1.41889E+12,청산프라자,공항동,서울특별시 강서구 공항대로2길 4 (공항동),,02-2666-9825,중식,1.41862E+12,자장면,5000,00:00.0,강서구
1.50148E+12,왕돈까스&amp;왕냉면,방화동,서울특별시 강서구 양천로16길 19 (방화동),,02-2663-5933,경양식,1.41862E+12,돈가스,6000,00:00.0,강서구
1.50148E+12,왕돈까스&amp;왕냉면,방화동,서울특별시 강서구 양천로16길 19 (방화동),,02-2663-5933,한식,1.41862E+12,냉면(물),5000,00:00.0,강서구
1.41889E+12,롯데리아,화곡동,서울특별시 강서구 강서로 35 (화곡동),,02-2692-0042,기타음식업,1.41862E+12,햄버거,3900,00:00.0,강서구
1.41889E+12,초밥전문점 스시,화곡동,서울특별시 강서구 화곡로 296 (화곡동),,02-2602-7898,일식,1.41862E+12,생선초밥,12000,00:00.0,강서구
1.49343E+12,현이네초밥가게,등촌동,서울특별시 강서구 공항대로45길 44 (등촌동 청림오피스텔),,02-3661-2714,일식,1.41862E+12,생선초밥,12000,00:00.0,강서구
